Course ID,Term Code,Term Descr,Session,Subject,Catalog Nbr,Section,Component Code,Class Nbr,Course Title,Location Code,Instruction Mode code,Meeting Pattern Nbr,Room Code,Building Code,Room,Class Start Time,Class End Time,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,DD,MM,MM,MM,YYYY,Start Date (DD/MM/YYYY),DD,,MM,YYYY,End Date (DD/MM/YYYY),End Date (DD/MM/YYYY),End Date (DD/MM/YYYY),End Date (DD/MM/YYYY)
31512,2184,Winter 2019,13W,ANTH,355,A,LEC,6128,URBAN REGIONS,SGW,P,1,H920,H,920,10.15.00,13.00.00,Y,N,N,N,N,N,N,7,1,,1,2019,7/1/2019,13,4,04,2019,13/04/2019,,13/04/2019,13/04/2019
31512,2184,Winter 2019,13W,ANTH,355,A,LEC,6128,URBAN REGIONS,SGW,P,1,H920,H,920,10.15.00,13.00.00,Y,N,N,N,N,N,N,7,1,,1,2019,7/1/2019,13,4,04,2019,13/04/2019,,13/04/2019,13/04/2019
47800,2184,Winter 2019,13W,ANTH,252,A,LEC,5478,FOOD & CULTURE,SGW,P,1,H937,H,937,16.15.00,17.30.00,Y,N,Y,N,N,N,N,7,1,,1,2019,7/1/2019,13,4,04,2019,13/04/2019,,13/04/2019,13/04/2019
47800,2184,Winter 2019,13W,ANTH,252,A,LEC,5478,FOOD & CULTURE,SGW,P,1,H937,H,937,16.15.00,17.30.00,Y,N,Y,N,N,N,N,7,1,,1,2019,7/1/2019,13,4,04,2019,13/04/2019,,13/04/2019,13/04/2019
2594,2184,Winter 2019,13W,BCEE,6961,V,LEC,1221,GRADUATE SEMINAR IN BCEE,SGW,P,1,H820,H,820,11.45.00,14.15.00,N,N,N,Y,N,N,N,7,1,,1,2019,7/1/2019,13,4,04,2019,13/04/2019,,13/04/2019,13/04/2019
2580,2184,Winter 2019,13W,BCEE,231,V VA,TUT,1200,COMP.APPL.BLDG/CIVIL ENGR.,SGW,P,1,H967,H,967,14.45.00,15.35.00,Y,N,N,N,N,N,N,7,1,,1,2019,7/1/2019,13,4,04,2019,13/04/2019,,13/04/2019,13/04/2019
2580,2184,Winter 2019,13W,BCEE,231,V VB,TUT,1199,COMP.APPL.BLDG/CIVIL ENGR.,SGW,P,1,H831,H,831,14.45.00,15.35.00,Y,N,N,N,N,N,N,7,1,,1,2019,7/1/2019,13,4,04,2019,13/04/2019,,13/04/2019,13/04/2019
2632,2184,Winter 2019,13W,BIOL,206,A,LEC,1228,ELEMENTARY GENETICS,SGW,P,1,H937,H,937,08.45.00,10.00.00,N,Y,N,Y,N,N,N,7,1,,1,2019,7/1/2019,13,4,04,2019,13/04/2019,,13/04/2019,13/04/2019
3372,2184,Winter 2019,13W,BLDG,6631,L,LEC,1312,FUNDALMENTAL FACILITY MGMT.,SGW,P,1,H920,H,920,14.45.00,17.30.00,N,N,Y,N,N,N,N,7,1,,1,2019,7/1/2019,13,4,04,2019,13/04/2019,,13/04/2019,13/04/2019
3346,2184,Winter 2019,13W,BLDG,498,U,LEC,7508,TOPICS IN BUILDING ENGG.   I,SGW,P,1,H920,H,920,14.45.00,17.30.00,N,N,Y,N,N,N,N,7,1,,1,2019,7/1/2019,13,4,04,2019,13/04/2019,,13/04/2019,13/04/2019
3323,2184,Winter 2019,13W,BLDG,366,VI-X,LAB,1290,ACOUSTICS AND LIGHTING,SGW,P,1,H927,H,927,14.45.00,16.35.00,Y,N,N,N,N,N,N,7,1,,1,2019,7/1/2019,12,1,1,2019,12/1/2019,,12/1/2019,12/1/2019
3323,2184,Winter 2019,13W,BLDG,366,VI-X,LAB,1290,ACOUSTICS AND LIGHTING,SGW,P,2,H927,H,927,14.45.00,16.35.00,Y,N,N,N,N,N,N,20,1,,1,2019,20/01/2019,26,1,1,2019,26/01/2019,,26/01/2019,26/01/2019
3323,2184,Winter 2019,13W,BLDG,366,VI-X,LAB,1290,ACOUSTICS AND LIGHTING,SGW,P,3,H927,H,927,14.45.00,16.35.00,Y,N,N,N,N,N,N,3,2,,2,2019,3/2/2019,9,2,2,2019,9/2/2019,,9/2/2019,9/2/2019
3323,2184,Winter 2019,13W,BLDG,366,VI-X,LAB,1290,ACOUSTICS AND LIGHTING,SGW,P,4,H927,H,927,14.45.00,16.35.00,Y,N,N,N,N,N,N,17,2,2,02,2019,17/02/2019,23,2,02,2019,23/02/2019,,23/02/2019,23/02/2019
3323,2184,Winter 2019,13W,BLDG,366,VI-X,LAB,1290,ACOUSTICS AND LIGHTING,SGW,P,5,H927,H,927,14.45.00,16.35.00,Y,N,N,N,N,N,N,10,3,,3,2019,10/3/2019,16,3,03,2019,16/03/2019,,16/03/2019,16/03/2019
3323,2184,Winter 2019,13W,BLDG,366,VI-X,LAB,1290,ACOUSTICS AND LIGHTING,SGW,P,6,H927,H,927,14.45.00,16.35.00,Y,N,N,N,N,N,N,24,3,3,03,2019,24/03/2019,30,3,03,2019,30/03/2019,,30/03/2019,30/03/2019
3323,2184,Winter 2019,13W,BLDG,366,VI-X,LAB,1290,ACOUSTICS AND LIGHTING,SGW,P,7,H927,H,927,14.45.00,16.35.00,Y,N,N,N,N,N,N,7,4,,4,2019,7/4/2019,13,4,04,2019,13/04/2019,,13/04/2019,13/04/2019
3323,2184,Winter 2019,13W,BLDG,366,VJ-X,LAB,1289,ACOUSTICS AND LIGHTING,SGW,P,1,H927,H,927,14.45.00,16.35.00,Y,N,N,N,N,N,N,13,1,,1,2019,13/01/2019,19,1,1,2019,19/01/2019,,19/01/2019,19/01/2019
3323,2184,Winter 2019,13W,BLDG,366,VJ-X,LAB,1289,ACOUSTICS AND LIGHTING,SGW,P,2,H927,H,927,14.45.00,16.35.00,Y,N,N,N,N,N,N,27,1,,1,2019,27/01/2019,2,2,2,2019,2/2/2019,,2/2/2019,2/2/2019
3323,2184,Winter 2019,13W,BLDG,366,VJ-X,LAB,1289,ACOUSTICS AND LIGHTING,SGW,P,3,H927,H,927,14.45.00,16.35.00,Y,N,N,N,N,N,N,10,2,,2,2019,10/2/2019,16,2,02,2019,16/02/2019,,16/02/2019,16/02/2019
